Reference #,Incident ID,Assigned Account,Severity,Status,Status Type,Subject,Product ID,Organisation ID,Date Closed,Date Created,Contact ID,Category ID
140618-000001,7370,Jahangir Ali,High,Solved,Solved,Standard Text,Internal,473,26-06-2014 11:28,18-06-2014 14:09,3034,No Value
140619-000000,7371,Jahangir Ali,Low,Solved,Solved,Grocery Aid Right Now,Existing Customer,473,19-06-2014 09:37,19-06-2014 08:40,34313,No Value
140619-000001,7372,Jahangir Ali,Urgent,Solved,Solved,CABA RN,Oracle Service Cloud,473,19-06-2014 14:38,19-06-2014 12:56,36605,No Value
140619-000002,7373,Jahangir Ali,Medium,Solved,Solved,WUTS Mailboxes,Incidents,473,04-07-2014 10:42,19-06-2014 14:34,2748,No Value
140620-000000,7374,Jahangir Ali,Medium,Solved,Solved,txtm8 RN,Existing Customer,473,20-06-2014 11:21,20-06-2014 11:14,36605,No Value
140621-000000,7375,Jahangir Ali,Low,Solved,Solved,i-HOP testing,Existing Customer,473,21-06-2014 01:26,21-06-2014 01:26,1607,No Value
140623-000000,7376,Jahangir Ali,Urgent,Solved,Solved,Right Now Access,Existing Customer,473,23-06-2014 09:29,23-06-2014 08:20,34313,No Value
140623-000001,7377,Jahangir Ali,Urgent,Solved,Solved,Merge records,Internal,473,23-06-2014 13:16,23-06-2014 11:53,36542,No Value
140623-000002,7378,Jahangir Ali,High,Solved,Solved,Merge Incidents,Internal,473,23-06-2014 13:16,23-06-2014 12:22,36542,No Value
140623-000003,7379,Jahangir Ali,High,Solved,Solved,Analytics reports error,Oracle Service Cloud,4,03-07-2014 15:56,23-06-2014 12:49,594,No Value
140624-000000,7380,Jahangir Ali,High,Solved,Solved,LTC Rightnow - Contact Quick Search,Existing Customer,473,25-06-2014 08:53,24-06-2014 11:40,3034,No Value
140624-000001,7381,Jahangir Ali,Low,Solved,Solved,MI Officer hidden from Rating and Admin Only (txtm8),Internal,473,24-06-2014 14:52,24-06-2014 14:52,3034,No Value
140624-000002,7382,Jahangir Ali,Low,Solved,Solved,Turn2us historic emails (backlog),Incidents,473,08-07-2014 15:23,24-06-2014 15:59,1607,No Value
140624-000003,7383,Mike Griffiths,Low,Solved,Solved,Kennedy Scott - Password Reset,Internal Process,473,24-06-2014 18:09,24-06-2014 18:09,37268,No Value
140625-000001,7384,Michael Warman,Low,Solved,Solved,ORN system access,Internal Projects,473,25-06-2014 16:43,25-06-2014 16:43,1607,No Value
140625-000000,7385,Ross Handby,Low,Solved,Solved,Change Request - UCU Additional New AAQ Page for Legal Action over Pay Docking,Customisation,4,05-08-2014 13:31,26-06-2014 09:07,594,No Value
140626-000000,7386,Jahangir Ali,Low,Solved,Solved,Project Documentation,Internal,473,26-06-2014 15:16,26-06-2014 15:16,1607,No Value
140626-000001,7387,Jahangir Ali,Medium,Solved,Solved,T2us Rn,Existing Customer,473,26-06-2014 15:54,26-06-2014 15:30,2713,No Value
140627-000003,7390,Jahangir Ali,Urgent,Solved,Solved,Turn2us Email notifications being sent out when email is sent to techmail,Internal,473,07-07-2014 09:23,27-06-2014 12:07,1243,No Value
140627-000004,7391,Michael Warman,High,Solved,Solved,New laptop,Internal Projects,473,27-06-2014 15:04,27-06-2014 15:04,1984,No Value
140627-000005,7392,Michael Warman,Low,Solved,Solved,"BA Training for RightNow, Implementation, Sales and PreSales",Internal Process,473,21-05-2015 13:18,27-06-2014 15:09,1984,No Value
140627-000006,7393,Jahangir Ali,Low,Solved,Solved,txtm8 - Issue with VCC updating Incidents rather than creating new ones,Incidents,473,02-07-2014 13:59,27-06-2014 15:41,34884,No Value
140627-000007,7394,Mike Griffiths,Low,Solved,Solved,txtm8 - Password Reset,Internal Process,473,27-06-2014 16:46,27-06-2014 16:46,34884,No Value
140630-000001,7395,Jahangir Ali,Low,Solved,Solved,Incident will not save - Hospitality Action,Oracle Service Cloud,473,30-06-2014 15:45,30-06-2014 10:20,36183,No Value
140630-000000,7396,Jahangir Ali,Low,Solved,Solved,Password reset,Existing Customer,29,30-06-2014 11:12,30-06-2014 11:12,1643,No Value
140630-000002,7397,Jahangir Ali,Urgent,Solved,Solved,Turn2us problem logging an issue,Internal,473,07-07-2014 09:24,30-06-2014 11:35,1243,No Value
140630-000003,7398,Jahangir Ali,Medium,Solved,Solved,Dads Can Website query,Existing Customer,15925,09-07-2014 16:33,30-06-2014 12:29,34357,No Value
140630-000004,7399,Jahangir Ali,Low,Solved,Solved,Weekly report to find number of incident by Age group,Existing Customer,15925,30-06-2014 14:44,30-06-2014 14:14,34357,No Value
140630-000005,7400,Jahangir Ali,Low,Solved,Solved,Weekly report no of incident by gender,Existing Customer,15925,30-06-2014 14:46,30-06-2014 14:14,34357,No Value
140630-000006,7401,Jahangir Ali,Low,Solved,Solved,Weekly Report,Existing Customer,15925,30-06-2014 14:51,30-06-2014 14:14,34357,No Value
140630-000007,7402,Jahangir Ali,Low,Solved,Solved,Weekly report -  Number incident by area,Existing Customer,15925,30-06-2014 14:47,30-06-2014 14:14,34357,No Value
140630-000008,7403,No Value,Low,Solved,Solved,Weekly report to find number of incident by Age group,Existing Customer,15925,30-06-2014 14:52,30-06-2014 14:14,34357,No Value
140630-000009,7404,Jahangir Ali,Low,Solved,Solved,Weekly Report to find no of incident source channel,Internal,15925,30-06-2014 14:43,30-06-2014 14:14,34357,No Value
140701-000000,7405,Ross Handby,Low,Solved,Solved,Prince 2 Course,Internal Process,473,10-10-2014 09:36,01-07-2014 08:48,37367,No Value
140701-000001,7406,Ross Handby,Low,Solved,Solved,Meeting With Michael Warman,Internal Process,473,10-10-2014 09:40,01-07-2014 08:56,37367,No Value
140701-000004,7408,Ross Handby,Low,Solved,Solved,Chanage Request - RBL CR20,Existing Customer,50,17-07-2014 18:31,01-07-2014 09:08,36637,No Value
140701-000005,7409,Jahangir Ali,Low,Solved,Solved,Profile change and disabling staff that have left.,Internal,473,01-07-2014 13:21,01-07-2014 10:21,2722,No Value
140701-000006,7410,Jahangir Ali,High,Solved,Solved,options tab visibility,Existing Customer,473,02-07-2014 12:06,01-07-2014 16:24,36542,No Value
140701-000007,7411,Mike Griffiths,Low,Solved,Solved,Training: Data Import,Internal Projects,0,21-05-2015 12:58,01-07-2014 18:03,37335,No Value
140702-000000,7412,Jahangir Ali,Medium,Solved,Solved,Delete Record,Internal,473,02-07-2014 13:24,02-07-2014 12:45,36542,No Value
140702-000001,7413,Jahangir Ali,Medium,Solved,Solved,Delete Incident,Internal,473,02-07-2014 13:23,02-07-2014 12:48,36542,No Value
140702-000002,7414,Jahangir Ali,Medium,Solved,Solved,Delete Incident,Existing Customer,473,02-07-2014 13:25,02-07-2014 12:52,36542,No Value
140702-000003,7415,Jahangir Ali,Medium,Solved,Solved,Delete Incident,Internal,473,02-07-2014 13:25,02-07-2014 12:54,36542,No Value
140702-000004,7416,Jahangir Ali,Medium,Solved,Solved,Delete Incident,Internal,473,02-07-2014 13:25,02-07-2014 12:55,36542,No Value
140702-000005,7417,Jahangir Ali,Medium,Solved,Solved,Delete Incident,Internal,473,02-07-2014 13:26,02-07-2014 12:57,36542,No Value
140702-000006,7418,Jahangir Ali,Medium,Solved,Solved,Delete Incident,Internal,473,02-07-2014 13:27,02-07-2014 12:59,36542,No Value
140702-000007,7419,Jahangir Ali,Medium,Solved,Solved,Delete Incident,Internal,473,02-07-2014 13:29,02-07-2014 13:01,36542,No Value
140702-000008,7420,No Value,Medium,Solved,Solved,Delete Incident,Internal,473,02-07-2014 13:28,02-07-2014 13:03,36542,No Value
140702-000009,7421,Jahangir Ali,Medium,Solved,Solved,Delete Incident,Existing Customer,473,02-07-2014 13:28,02-07-2014 13:04,36542,No Value
140702-000010,7422,Jahangir Ali,Medium,Solved,Solved,Deleyte Incident,Internal,473,03-07-2014 09:22,02-07-2014 16:43,36542,No Value
140703-000000,7424,Jahangir Ali,Urgent,Solved,Solved,Live Chat across all Rightnow's,Existing Customer,473,17-07-2014 12:31,03-07-2014 12:21,3034,No Value
140703-000001,7425,Jahangir Ali,Low,Solved,Solved,Chat session,Telephone Service,473,03-07-2014 14:20,03-07-2014 14:20,1607,No Value
140703-000002,7426,Jahangir Ali,Low,Solved,Solved,Chat session,Telephone Service,473,03-07-2014 14:55,03-07-2014 14:55,1607,No Value
140703-000003,7427,Jahangir Ali,Low,Solved,Solved,i-HOP,Existing Customer,16227,04-07-2014 10:11,03-07-2014 15:29,36819,No Value
140703-000004,7428,Jahangir Ali,High,Solved,Solved,Confidential care RN issue,Oracle Service Cloud,473,04-07-2014 10:59,03-07-2014 19:50,34362,No Value
140704-000000,7429,Jahangir Ali,Urgent,Solved,Solved,CiC,Service,473,07-07-2014 09:17,04-07-2014 10:52,1243,No Value
140704-000001,7430,Jahangir Ali,Low,Solved,Solved,Living well Password Reset,Existing Customer,759,04-07-2014 11:27,04-07-2014 11:27,36860,No Value
140704-000002,7431,Stephen Pickett,Low,Solved,Solved,Dealing with Virgin Wines dispute,Internal Process,16190,10-10-2014 10:45,04-07-2014 13:48,37580,No Value
140706-000000,7433,Ross Handby,Low,Solved,Solved,Completing Time Billed,Internal Process,27,10-10-2014 09:42,06-07-2014 21:58,30108,No Value
140706-000001,7434,Natalie Jones,Low,Solved,Solved,Change Request - Turn2us New Surveys,Other,27,11-02-2015 15:50,06-07-2014 22:09,37294,No Value
140706-000002,7435,Ross Handby,Low,Solved,Solved,Update Celoxis,Internal,27,06-07-2014 22:18,06-07-2014 22:18,30108,No Value
140706-000003,7436,Ross Handby,Low,Solved,Solved,Update CA Support,Internal,27,06-07-2014 22:18,06-07-2014 22:18,30108,No Value
140706-000004,7437,Ross Handby,Low,Solved,Solved,Phone call with LX regarding potential changes to LX interface,Existing Customer,16183,06-07-2014 22:26,06-07-2014 22:26,36859,No Value
140708-000000,7438,Jahangir Ali,Urgent,Solved,Solved,Fill inbox - AAQs,Existing Customer,473,28-07-2014 11:33,08-07-2014 13:06,3034,No Value
140708-000001,7439,Jahangir Ali,Urgent,Solved,Solved,LTC Rightnow - Action Plan,Existing Customer,473,14-07-2014 15:27,08-07-2014 13:39,3034,No Value
140709-000000,7440,Jahangir Ali,Medium,Solved,Solved,Tasks synchronisation error,Oracle Service Cloud,4,18-07-2014 13:48,09-07-2014 11:16,594,No Value
140709-000001,7441,Michael Warman,Low,Solved,Solved,Warm Wales,General Enquiries,473,28-11-2014 15:26,09-07-2014 14:15,2748,No Value
140709-000004,7443,Bethan Morris,Low,Solved,Solved,RightNow License Management,Internal Projects,473,21-05-2015 11:47,09-07-2014 15:43,1243,No Value
140710-000000,7444,Jahangir Ali,High,Solved,Solved,Problems with outlook sync,Other,4,18-08-2014 12:02,10-07-2014 11:50,594,No Value
140710-000001,7445,Jahangir Ali,Low,Solved,Solved,RFC Test incident,Incidents,473,10-07-2014 12:43,10-07-2014 12:41,37593,No Value
140710-000002,7446,Jahangir Ali,Medium,Solved,Solved,Delete Record,Existing Customer,473,10-07-2014 16:14,10-07-2014 15:47,37594,No Value
140710-000003,7447,Jahangir Ali,Low,Solved,Solved,Unable to copy to CMS error,Existing Customer,50,16-07-2014 13:16,10-07-2014 16:43,36867,No Value
140711-000000,7448,Jahangir Ali,Low,Solved,Solved,Scheduled Reports,Existing Customer,50,11-07-2014 10:24,11-07-2014 10:13,36595,No Value
140711-000001,7449,Jahangir Ali,Low,Solved,Solved,Attachments on incidents,Existing Customer,50,11-07-2014 12:41,11-07-2014 12:41,36595,No Value
140711-000002,7450,Jahangir Ali,High,Solved,Solved,txtm8 Rightnow account set up,Existing Customer,473,11-07-2014 16:02,11-07-2014 15:36,3034,No Value
140714-000001,7452,Jahangir Ali,High,Solved,Solved,Turn2Us rightnow access,Internal,473,14-07-2014 15:46,14-07-2014 10:57,36542,No Value
140714-000002,7453,Jahangir Ali,Low,Solved,Solved,TRBL Right Now Issues - Live Chat,Customer Portal,473,11-08-2014 11:14,14-07-2014 15:17,36805,No Value
140715-000000,7454,Jahangir Ali,Medium,Solved,Solved,Password Reset,Existing Customer,50,16-07-2014 09:44,15-07-2014 09:19,37596,No Value
140715-000004,7458,Jahangir Ali,Urgent,Solved,Solved,KS RN,System Configuration,473,15-07-2014 13:54,15-07-2014 13:19,36605,No Value
140715-000005,7459,Jahangir Ali,High,Solved,Solved,Call Retention for 2 years,Existing Customer,473,16-07-2014 13:02,15-07-2014 13:53,3034,No Value
140715-000006,7460,Jahangir Ali,Urgent,Solved,Solved,Chrissy Longley login,Existing Customer,63,15-07-2014 14:44,15-07-2014 14:36,34592,No Value
140715-000007,7461,Jahangir Ali,Urgent,Solved,Solved,Ffion Moore's KS RN,Internal,473,15-07-2014 15:39,15-07-2014 14:59,36605,No Value
140715-000008,7462,Jahangir Ali,Urgent,Solved,Solved,LTC RightNow,Existing Customer,473,15-07-2014 16:17,15-07-2014 15:21,2713,No Value
140716-000000,7463,Jahangir Ali,Urgent,Solved,Solved,Planning Aid England access,Profiles / Staff Accounts,473,16-07-2014 16:21,16-07-2014 16:03,1607,No Value
140717-000000,7465,Jahangir Ali,Urgent,Solved,Solved,Right Now Access,Existing Customer,473,17-07-2014 12:23,17-07-2014 11:56,34313,No Value
140717-000001,7466,Jahangir Ali,Low,Solved,Solved,Chat session,Oracle Service Cloud,473,17-07-2014 12:00,17-07-2014 12:00,1607,No Value
140717-000002,7467,Jahangir Ali,Medium,Solved,Solved,Inexgen access to the test Planning Aid,Profiles / Staff Accounts,473,28-07-2014 10:44,17-07-2014 13:01,37593,No Value
140717-000003,7468,Jahangir Ali,Low,Solved,Solved,ebulletin issue,Other,27,31-07-2014 09:19,17-07-2014 13:43,36846,No Value
140717-000004,7469,Ross Handby,Low,Solved,Solved,Change Request - Grocery Aid Befriending Service Workspace Changes,Customisation,53,05-08-2014 13:30,17-07-2014 15:28,1521,No Value
140717-000005,7470,Jahangir Ali,Low,Solved,Solved,rightnow barnardos,Existing Customer,1760,17-07-2014 16:30,17-07-2014 15:58,36633,No Value
140717-000006,7471,Jahangir Ali,Medium,Solved,Solved,Esn RightNow locked,Internal,473,18-07-2014 10:50,17-07-2014 16:39,34327,No Value
140717-000007,7472,Stephen Pickett,Low,Solved,Solved,Booking travel,Internal Process,473,17-07-2014 18:23,17-07-2014 18:23,1984,No Value
140718-000000,7473,Jahangir Ali,Medium,Solved,Solved,RBL RN,Internal,473,18-07-2014 10:45,18-07-2014 08:57,37621,No Value
140718-000001,7474,Jahangir Ali,Low,Solved,Solved,Barnardos - Unable to raise incidet via Support Page,Other,473,14-08-2014 11:21,18-07-2014 10:58,2748,No Value
140718-000002,7475,Jahangir Ali,Low,Solved,Solved,ESN accounts setup,Internal,473,18-07-2014 11:03,18-07-2014 11:03,1607,No Value
140718-000005,7477,Natalie Jones,Medium,Solved,Solved,STC - Removal of data,Other,473,21-05-2015 12:40,18-07-2014 17:07,1243,No Value
140720-000000,7478,Ross Handby,Low,Solved,Solved,Completing expenses,Internal,27,20-07-2014 21:13,20-07-2014 21:13,30108,No Value
140720-000001,7479,Ross Handby,Low,Solved,Solved,Turn2us Email Backlog Issue,Other,27,29-09-2014 10:12,20-07-2014 21:59,36846,No Value
140720-000002,7480,Ross Handby,Low,Solved,Solved,Burning red training on Customer Portal,Internal,27,20-07-2014 22:20,20-07-2014 22:20,30108,No Value
140720-000004,7481,Ross Handby,Low,Solved,Solved,Racing Welfare New Project,Workspaces,252,05-08-2014 13:33,20-07-2014 22:23,37045,No Value
140721-000000,7482,Mike Griffiths,Urgent,Solved,Solved,Kennedy Scott Reporting,Existing Customer,473,28-07-2014 15:17,21-07-2014 10:53,3034,No Value
140721-000001,7483,Mike Griffiths,Medium,Solved,Solved,Unable to zoom in and out RN,Workspaces,50,22-07-2014 10:19,21-07-2014 11:44,36867,No Value
140721-000002,7484,Jahangir Ali,High,Solved,Solved,Upside SSL Certificate,Customer Portal,473,31-07-2014 15:00,21-07-2014 15:10,2748,No Value
140721-000003,7485,Mike Griffiths,Low,Solved,Solved,Query regarding CP notifications,Other,737,21-07-2014 18:13,21-07-2014 18:13,30179,No Value
140721-000004,7486,Mike Griffiths,Low,Solved,Solved,Analytics session with Patrick (21/07/14),Internal Process,0,12-12-2014 12:18,21-07-2014 18:15,37335,No Value
140721-000005,7487,Stephen Pickett,Low,Solved,Solved,Emeritus Discovery and Prep,Multi-Channel Helplines,473,10-10-2014 11:05,21-07-2014 18:48,1934,No Value
140722-000000,7488,Barbara Skym,No Value,Solved,Solved,Demo Request,Interested Party,78,22-07-2014 14:32,22-07-2014 11:32,37631,No Value
140722-000001,7489,Mike Griffiths,Urgent,Solved,Solved,password change problems with txtm8 rightnow,Interested Party,473,22-07-2014 17:13,22-07-2014 12:20,37256,No Value
140722-000002,7490,No Value,Medium,Solved,Solved,A new sales enquiry has been received,Internal Process,473,22-07-2014 17:14,22-07-2014 12:29,2748,No Value
140723-000000,7491,Mike Griffiths,Medium,Solved,Solved,txtm8 Rightnow,Existing Customer,473,25-07-2014 14:35,23-07-2014 11:20,3034,No Value
140724-000000,7492,Jahangir Ali,High,Solved,Solved,Hospitality Action Delete Record,Incidents,473,29-07-2014 10:40,24-07-2014 11:07,36542,No Value
140724-000004,7495,Mike Griffiths,Low,Solved,Solved,ESN - TATA rightNow,Profiles / Staff Accounts,473,24-07-2014 16:42,24-07-2014 15:06,2713,No Value
140724-000005,7496,Mike Griffiths,Low,Solved,Solved,Caravan RN,Profiles / Staff Accounts,473,24-07-2014 17:00,24-07-2014 15:22,2713,No Value
140725-000000,7497,Mike Griffiths,Medium,Solved,Solved,GroceryAid RightNow,Agent Desktop,473,25-07-2014 14:29,25-07-2014 10:28,34313,No Value
140725-000001,7498,Mike Griffiths,Urgent,Solved,Solved,Lighthouse Club,Profiles / Staff Accounts,473,25-07-2014 18:33,25-07-2014 17:44,37593,No Value
140725-000002,7499,Michael Warman,Low,Solved,Solved,CASupport Improvement,Internal Process,473,24-01-2015 05:36,25-07-2014 18:01,2748,No Value
140725-000004,7501,Mike Griffiths,Low,Solved,Solved,Pharmacist Support Work,Installations and Upgrades,29,19-11-2014 13:04,25-07-2014 18:11,3084,No Value
140725-000005,7502,Mike Griffiths,Low,Solved,Solved,Report Training - Paul Maksimovic,Internal Projects,473,21-05-2015 12:55,25-07-2014 18:26,37642,No Value
140728-000000,7503,Jahangir Ali,Low,Solved,Solved,Caravan RN,Existing Customer,473,28-07-2014 12:08,28-07-2014 11:37,2713,No Value
140728-000001,7504,Mike Griffiths,Urgent,Solved,Solved,Grocery Aid Right Now,Workspaces,473,28-07-2014 16:48,28-07-2014 13:37,34313,No Value
140728-000002,7505,Jahangir Ali,Low,Solved,Solved,Hospitality Action RN,Existing Customer,473,28-07-2014 15:51,28-07-2014 13:39,2713,No Value
140728-000003,7506,Jahangir Ali,Medium,Solved,Solved,Detete Test Incident,Internal,473,28-07-2014 16:05,28-07-2014 16:01,36542,No Value
140729-000000,7509,Michael Warman,Low,Solved,Solved,Turn2Us,Other,473,19-08-2014 18:45,29-07-2014 13:40,1243,No Value
140729-000003,7511,Mike Griffiths,Low,Solved,Solved,Assisting Jay with Turn2Us E-mail issue,Internal Projects,473,29-07-2014 18:03,29-07-2014 18:03,1607,No Value
140730-000007,7517,Jahangir Ali,Urgent,Solved,Solved,Grocery Aid Right Now,Workspaces,473,31-07-2014 15:03,30-07-2014 16:18,34313,No Value
140731-000000,7518,Jahangir Ali,High,Solved,Solved,txtm8 Reports,Analytics,473,01-08-2014 11:34,31-07-2014 08:23,3034,No Value
140731-000002,7519,Michael Warman,High,Solved,Solved,The Light House Club,Other,16271,05-08-2014 13:36,31-07-2014 17:08,37271,No Value
140801-000000,7520,Jahangir Ali,Medium,Solved,Solved,notes on right now.,Internal Process,473,01-08-2014 10:09,01-08-2014 10:01,34362,No Value
140801-000002,7521,Jahangir Ali,Low,Solved,Solved,NCVO FW: Catch up before I go,Profiles / Staff Accounts,522,04-08-2014 14:35,01-08-2014 13:43,37310,No Value
140801-000004,7522,Stephen Pickett,High,Solved,Solved,"Support Feedback: No, Poor or Very Poor selected",Feedback,473,14-10-2014 11:08,01-08-2014 14:48,2748,No Value
140801-000005,7523,Bethan Morris,No Value,Solved,Solved,St Giles Trust,Online Organisation Feedback,432,15-04-2015 10:46,01-08-2014 17:26,30387,No Value
140804-000000,7524,Jahangir Ali,High,Solved,Solved,Turn2us report,Internal Process,473,04-08-2014 10:21,04-08-2014 09:31,36542,No Value
140804-000002,7526,Jahangir Ali,High,Solved,Solved,CABA Rightnow - Time Billed,Workspaces,473,04-08-2014 13:25,04-08-2014 10:58,3034,No Value
140804-000003,7527,Jahangir Ali,High,Solved,Solved,Grocery Aid Right Now,Workspaces,473,04-08-2014 11:53,04-08-2014 11:00,34313,No Value
140804-000004,7528,Jahangir Ali,Low,Solved,Solved,Password Reset,Logins,737,04-08-2014 13:34,04-08-2014 12:15,30179,No Value
140805-000000,7529,Jahangir Ali,Low,Solved,Solved,Account Audit,Internal Process,473,05-08-2014 15:46,05-08-2014 15:46,1607,No Value
140805-000001,7530,Jahangir Ali,Low,Solved,Solved,NRW SMS details,Internal Process,473,05-08-2014 15:47,05-08-2014 15:47,1607,No Value
140806-000000,7531,Jahangir Ali,Urgent,Solved,Solved,RBL Duty Phone Not Working,Internal Process,473,06-08-2014 11:10,06-08-2014 10:35,2722,No Value
140806-000001,7532,Ross Handby,Medium,Solved,Solved,i-hop,Customer Portal,16227,29-09-2014 10:11,06-08-2014 14:14,36817,No Value
140806-000003,7533,Jahangir Ali,Medium,Solved,Solved,CMS integration Add-in won't load and unable to export all incidents in group report to Excel,Other,50,12-08-2014 14:16,06-08-2014 15:29,36867,No Value
140806-000002,7535,Jahangir Ali,Medium,Solved,Solved,Mail Merge Template Issue,Other,16183,07-08-2014 13:59,06-08-2014 16:00,36915,No Value
140806-000005,7536,Jahangir Ali,High,Solved,Solved,Delete a record,Other,473,07-08-2014 09:47,06-08-2014 16:34,36542,No Value
140806-000006,7537,Michael Warman,Low,Solved,Solved,RN Concurrent Licences,Internal Projects,473,06-08-2014 17:59,06-08-2014 17:59,1243,No Value
140807-000000,7538,Jahangir Ali,Medium,Solved,Solved,barnardo's Upside (Staffordshire),Answers,473,11-08-2014 13:56,07-08-2014 13:09,2748,No Value
140808-000001,7541,Jahangir Ali,Medium,Solved,Solved,Locked Account,Profiles / Staff Accounts,15925,08-08-2014 14:22,08-08-2014 14:22,34357,No Value
140808-000002,7542,Mike Griffiths,No Value,Solved,Solved,Turn2Us SPAM mail changes,Installations and Upgrades,27,19-04-2016 16:22,08-08-2014 18:12,34363,No Value
140812-000000,7544,Jahangir Ali,Low,Solved,Solved,Query:  Is it possible to run a report that returns all the incidents a group has been involved with?,Analytics,50,13-08-2014 13:49,12-08-2014 12:28,36867,No Value
140813-000000,7547,Jahangir Ali,Medium,Solved,Solved,Queue is a mandatory field when it shouldn't be in Turn2us Editor account,Workspaces,27,13-08-2014 15:16,13-08-2014 14:04,29961,No Value
140813-000001,7548,Jahangir Ali,Urgent,Solved,Solved,Grocery Aid Right Now,Workspaces,473,13-08-2014 15:57,13-08-2014 14:08,34313,No Value
140813-000003,7550,Jahangir Ali,Urgent,Solved,Solved,urgent access required,Profiles / Staff Accounts,473,13-08-2014 15:56,13-08-2014 15:56,37642,No Value
140814-000000,7551,Jahangir Ali,Urgent,Solved,Solved,Grocery Aid Right Now,Workspaces,473,15-08-2014 09:10,14-08-2014 15:47,34313,No Value
140815-000001,7552,Jahangir Ali,Medium,Solved,Solved,Turn2us RightNow,Profiles / Staff Accounts,473,15-08-2014 14:31,15-08-2014 11:06,1243,No Value
140818-000000,7553,Jahangir Ali,Low,Solved,Solved,BTB User Account,Profiles / Staff Accounts,473,18-08-2014 12:55,18-08-2014 12:55,37642,No Value
140818-000001,7554,Jahangir Ali,Medium,Solved,Solved,delete record,Other,473,18-08-2014 13:54,18-08-2014 13:32,37683,No Value
140819-000001,7556,Jahangir Ali,Urgent,Solved,Solved,Debbie Osman RN Access,Profiles / Staff Accounts,473,19-08-2014 14:23,19-08-2014 11:35,36812,No Value
140819-000002,7557,Jahangir Ali,Urgent,Solved,Solved,Grocery Aid Right Now,Workspaces,473,19-08-2014 14:07,19-08-2014 13:15,34313,No Value
140819-000003,7558,Stephen Pickett,High,Solved,Solved,"Support Feedback: No, Poor or Very Poor selected",Feedback,473,14-10-2014 11:15,19-08-2014 13:48,34313,No Value
140819-000004,7559,Jahangir Ali,Urgent,Solved,Solved,Grocery Aid Right Now,Profiles / Staff Accounts,473,19-08-2014 15:32,19-08-2014 14:57,34313,No Value
140819-000005,7560,Bethan Morris,Medium,Solved,Solved,Barnardo's TOY Discovery,Business Engagement Systems,1760,28-05-2015 18:18,19-08-2014 18:29,37365,No Value
140820-000000,7561,Michael Warman,Medium,Solved,Solved,Change Request Pharmacist Support RFC,System Configuration,29,03-12-2014 09:29,20-08-2014 11:18,3084,No Value
140820-000001,7562,Jahangir Ali,Low,Solved,Solved,Pharmacist Support,Profiles / Staff Accounts,473,20-08-2014 12:18,20-08-2014 11:35,37593,No Value
140820-000002,7563,Jahangir Ali,Urgent,Solved,Solved,Locked out of TRBL RN,Internal Process,473,20-08-2014 15:30,20-08-2014 14:45,36183,No Value
140821-000000,7566,Mike Griffiths,Medium,Solved,Solved,Missing Dispositions,System Configuration,16187,29-08-2014 12:31,21-08-2014 17:40,37688,No Value
140825-000000,7567,Jahangir Ali,Urgent,Solved,Solved,Shoretel Director Password and Username,Telephone Service,473,26-08-2014 08:54,25-08-2014 13:19,36812,No Value
140825-000001,7568,Jahangir Ali,Low,Solved,Solved,Incident assigned,Internal Process,473,02-09-2014 09:26,25-08-2014 15:00,34327,No Value
140826-000000,7569,Jahangir Ali,Urgent,Solved,Solved,right now access,Profiles / Staff Accounts,473,27-08-2014 09:41,26-08-2014 12:08,34893,No Value
140827-000000,7571,Jahangir Ali,High,Solved,Solved,The Lighthouse Club - RightNow,Profiles / Staff Accounts,473,27-08-2014 12:31,27-08-2014 08:50,1243,No Value
140827-000001,7572,Jahangir Ali,Low,Solved,Solved,LiveChat page,Other,737,27-08-2014 15:46,27-08-2014 09:59,30179,No Value
140827-000002,7573,Jahangir Ali,High,Solved,Solved,NexGen Access to Planning Aid Production,Profiles / Staff Accounts,473,27-08-2014 14:24,27-08-2014 11:29,1607,No Value
140827-000003,7574,Jahangir Ali,Low,Solved,Solved,T2us RN,Other,473,27-08-2014 13:34,27-08-2014 11:41,2713,No Value
140827-000004,7575,Michael Warman,Medium,Solved,Solved,Paddy Power Discovery,Business Engagement Systems,16326,24-02-2015 14:42,27-08-2014 14:24,37587,No Value
140827-000005,7576,Jahangir Ali,Urgent,Solved,Solved,Live Chat - CABA RN,Other,473,08-09-2014 11:30,27-08-2014 16:33,36812,No Value
140827-000006,7577,Ross Handby,High,Solved,Solved,NVCO,Other,473,28-08-2014 13:45,27-08-2014 17:41,1243,No Value
140828-000000,7578,Jahangir Ali,Low,Solved,Solved,Mail Merge Template Visibility ,Workspaces,16183,28-08-2014 10:37,28-08-2014 10:37,36915,No Value
140828-000001,7579,Jahangir Ali,Medium,Solved,Solved,Sites Overview - Clean Up,Internal Process,473,28-08-2014 15:45,28-08-2014 15:45,1607,No Value
140829-000000,7580,Jahangir Ali,Medium,Solved,Solved,Saving error in ca support,Other,473,01-09-2014 14:40,29-08-2014 16:19,2861,No Value
140831-000000,7581,Ross Handby,No Value,Solved,Solved,Change Request - UCU IP Protect New AAQ Page,Outbound E-mail,4,10-10-2014 09:47,31-08-2014 21:52,594,No Value
140901-000001,7583,Jahangir Ali,Low,Solved,Solved,Connect Assist,Logins,737,01-09-2014 10:47,01-09-2014 10:30,30179,No Value
